,all_stem_den,big_stem_bas,can_covr_mea,can_heig_mea,ELT
1,11016.59822,29.10418788,92.2,22.6,do
2,3199.980329,25.92303626,92.72,22.9,do
3,7974.628622,29.47087673,94.28,24.3,do
4,15294.41486,27.04087047,97.92,18.9,do
5,17180.68699,36.19287924,97.92,26,dm
6,7017.910771,27.66375597,91.68,26.8,wm
7,26317.7188,38.0889361,92.2,15.5,do
8,10458.78688,26.91777939,94.28,29,dm
9,5365.828699,25.78000431,99.48,27.7,wm
10,21003.08791,13.87331623,99.48,21.2,do
11,5949.909517,35.89125029,97.4,24.2,dm
12,20158.99461,19.83527488,92.72,21,dm
13,12813.33276,16.90301707,89.08,12.6,do
14,8877.019325,38.19231146,97.4,24.65,do
15,8100.611432,18.55368471,97.92,24.5,wm
16,13376.11481,18.04112499,94.28,26.1,dm
17,7160.828229,22.7667006,2.76,25.3,do
18,27098.15013,23.18938445,98.44,19.3,do
19,10749.48614,21.34503485,97.4,19.9,do
20,19115.47464,24.59464328,90.64,20.65,do
21,3626.181703,37.74961495,95.84,39.4,dm
22,12482.16484,34.77777234,90.64,22,do
23,12747.93577,23.06384603,99.48,20.6,do
24,4766.601427,19.45137638,97.92,26.5,dm
25,6854.982509,19.27311262,94.28,28.6,dm
26,4015.121867,29.12175973,95.32,23,dm
27,10748.145,35.9787963,91.16,26,dm
28,30600.90002,26.87368823,93.24,27.1,dm
29,31500.60843,20.08586224,91.16,27,do
30,4498.148207,23.79565745,95.84,25.7,dm
31,8189.201742,45.05640614,93.24,30.1,dm
32,7530.335925,26.48773397,50.08,25.9,do
33,11090.04207,28.89943418,96.88,17.9,do
34,5601.30672,39.07933276,91.16,27.5,dm
35,15536.5986,48.18343253,88.04,28.1,wm
36,20287.65971,25.21292779,92.2,23.5,wm
37,3350.891472,36.1829137,98.44,22.1,do
38,7313.080516,33.73548242,93.24,30,dm
39,4881.461215,21.47413658,96.36,25.9,wm
40,706.0401946,19.17020714,92.72,30.7,wm
41,25250.61164,53.20630042,94.8,25.5,wm
42,8764.841826,39.15199898,94.8,30.7,dm
43,18382.9805,24.53302269,90.98666667,18.96666667,do
44,4028.927177,22.17066724,96.36,29.1,wm
45,17514.14333,15.35337536,98.96,30.1,wm
46,8889.483492,21.1822676,98.96,23.6,do
47,3555.682715,28.54281854,96.88,30.75,dm
48,14417.34636,42.39696726,97.92,20.3,dm
49,4982.515692,31.44250398,95.49333333,27.93333333,wm
50,10381.31959,31.79586303,93.76,29.3,dm
51,8099.270288,40.31482497,94.8,25.1,wm
52,13399.702,56.4112499,87,32,wm
53,13295.96523,29.93915929,97.92,23.5,do
54,14722.79821,16.75139987,95.32,13.6,wm
55,16610.41148,16.34201974,97.92,18.4,do
56,13037.29389,9.689550865,80.76,15.2,wm
57,14753.48499,44.52259378,95.84,29,dm
58,9948.149916,21.64178871,90.12,22.25,do
59,11920.33007,38.43610502,92.2,21.5,do
60,17032.90518,9.486562508,92.02666667,10.43333333,dm
61,5143.208713,32.61520088,96.88,20.1,do
62,9632.522319,19.72129767,91.68,21.2,wm
63,12353.49974,36.13981126,96.36,26.7,dm
64,18680.96382,28.1448234,94.8,21.4,do
65,28685.67612,20.426766,96.88,19,wm
66,4594.022576,31.08321586,93.41333333,33.71666667,dm
67,11257.30953,31.371081,96.18666667,27.6,wm
68,10814.48926,25.45408803,94.28,25.5,wm
69,2156.46036,27.05368471,93.76,26.8,wm
70,12417.16172,42.56300415,89.08,26.05,dm
71,10814.48926,28.81969027,94.8,24.9,dm
72,22986.39108,23.35045814,97.4,20.9,wm
73,2193.85286,33.28592685,95.32,26,dm
74,5047.912681,46.8336988,93.76,23.5,do
75,7398.988538,34.09180437,91.68,28.2,wm
76,13834.21282,33.18127888,87,25,do
77,10940.47207,35.02067507,95.32,23.05,wm
78,10146.6293,15.1617981,85.96,12.4,wm
79,13045.47205,23.48510063,88.56,23.13333333,do
80,3673.224792,34.5096327,97.4,30.6,wm
81,7181.733129,30.75445415,82.84,20.25,do
82,23264.62618,26.31610737,90.12,20.5,do
83,11640.75382,20.82481988,51.64,25.8,dm
84,28181.74488,19.80220652,90.12,24.7,do
85,28195.55019,23.73262393,95.32,23.3,do
86,10562.52364,19.38058971,94.8,35.25,wm
87,21151.31677,23.15735375,97.4,24.8,do
88,18697.45142,23.07774689,91.16,27.7,do
89,14468.1503,21.46132234,94.8,26.1,dm
90,5830.447959,32.95334404,89.6,27.2,wm
91,20518.72043,15.73230088,97.4,23.2,do
92,26653.85743,32.20805271,95.32,25.3,do
93,3822.794791,40.41333503,95.32,28.75,dm
94,15410.30003,32.86880988,87.86666667,19.83333333,do
95,13920.12084,33.78598559,95.84,23.15,do
96,6028.717949,16.24571227,97.4,27.1,dm
97,33686.96784,21.09422234,75.04,21.4,do
98,9793.21534,17.50800767,94.28,18.9,dm
99,14101.32489,27.0965522,95.32,29.15,dm
100,16834.63519,29.31652178,88.90666667,31.93333333,wm
101,21995.41007,21.47712233,96.88,24.5,dm
102,7744.909046,17.89848461,92.72,26.7,dm
103,9593.788675,16.63556269,91.68,25.05,do
104,24285.90011,24.39925797,93.76,30.15,wm
105,12615.43171,25.29086068,95.14666667,34.46666667,dm
106,10258.01907,25.97231576,94.8,35.85,wm
107,13179.7643,25.78978385,92.72,22.2,do
108,17257.26018,53.51089879,90.98666667,32.36666667,do
109,7756.032068,44.06614653,92.2,27.55,do
110,11881.59642,45.07931318,96.36,27.25,do
111,2386.179936,25.55230441,97.4,26.15,do
112,4528.441117,35.2588985,90.12,36.45,dm
113,6856.323653,28.0863615,94.8,22.65,dm
114,7451.527493,27.31761493,93.24,25.4,do
115,15007.73903,17.06692967,93.24,32,dm
116,14483.29676,22.78275511,92.72,28.3,dm
117,16589.90045,17.39645822,91.68,19.05,do
118,8625.053705,30.56218185,91.16,24.85,dm
119,7195.53844,31.06905396,92.72,20.35,do
120,28248.08915,36.6528115,93.24,24.8,do
121,21141.53489,27.19402459,96.88,21.25,do
122,23623.01086,33.59094291,89.08,26.9,dm
123,8387.024685,19.21229801,87.86666667,23.93333333,wm
124,9283.919522,18.58786253,90.29333333,18,dm
125,9900.081442,16.11650612,91.33333333,26.46666667,wm
126,8503.356906,11.24381314,89.25333333,17.43333333,do
127,18974.21408,4.049233821,62.90666667,10.3,do
128,10092.98686,15.39187355,82.66666667,21.1,wm
129,20349.21773,11.93259718,96.53333333,14.63333333,do
130,9126.040079,20.76785574,88.90666667,21.63333333,dm
131,12472.90812,20.21082961,80.93333333,14.66666667,wm
132,12232.56575,14.04758921,81.97333333,18.63333333,dm
133,14276.27027,35.41974704,86.48,24.53333333,do
134,9470.303683,19.81645652,74,19.93333333,do
135,16205.43077,28.896716,87.17333333,24.26666667,dm
136,24215.58559,16.3478607,58.74666667,21.81666667,dm
137,35732.9076,13.77025739,75.38666667,19.26666667,do
138,17616.986,9.126119247,27.2,5.366666667,do
139,40402.34669,16.03961417,38.64,16.1,do
140,12669.12734,21.78990132,92.02666667,23.2,wm
141,12628.47421,24.60641006,40.72,13.4,wm
142,4672.646539,41.93924087,89.6,25.96666667,do
143,4487.419052,19.6085115,76.77333333,15.46666667,do
144,21179.37444,15.30773096,86.48,13.8,do
145,21661.69115,5.2845694,16.10666667,19.43333333,do
146,14327.02103,24.79283812,90.64,28.86666667,wm
147,17115.36811,31.5924831,81.28,21.26666667,wm
148,7468.40896,18.92107839,89.25333333,16.13333333,do
149,11978.18042,19.48391286,85.44,22.3,do
150,12349.79207,24.52151696,64.64,24.66666667,do
151,7753.34978,16.90012922,84.74666667,17.06666667,wm
152,13473.46161,22.68355653,90.64,17.5,dm
153,6794.975025,16.58768632,91.68,14.66666667,dm
154,18811.86416,28.35414546,95.49333333,23.73333333,wm
155,17860.64217,29.34595505,85.44,27.13333333,wm
156,19429.44533,14.6611259,68.8,16.7,wm
157,13096.22281,19.57157961,92.02666667,17.7,do
158,10633.10074,24.87130942,87.52,17.22333333,do
159,9839.495621,19.42134597,81.62666667,17.23333333,wm
160,13903.50195,25.14945049,90.98666667,25,do
161,7019.067445,20.36482236,87.52,19.36666667,do
162,12054.49103,10.34128227,85.78666667,19.66666667,wm
163,9442.693062,18.42779388,84.05333333,17.93333333,do
164,27387.69272,12.90645965,75.04,19.06666667,do
165,20938.66313,28.78450414,92.02666667,21.58333333,dm
166,14979.3656,28.46272222,92.37333333,22.9,dm
167,4543.271814,17.29048868,67.76,26.06666667,wm
168,13498.38995,13.31543843,74,15.86666667,wm
169,21045.52923,19.11819641,97.22666667,23.58333333,wm
170,2858.661591,16.42911217,94.10666667,20.6,do
171,3457.310527,29.54506357,90.29333333,33.33333333,wm
172,12586.92699,29.31986321,95.49333333,23.83333333,do
173,9569.12292,12.14280027,62.56,12.73333333,do
174,9627.289031,20.55150495,78.16,15.6,dm
175,19614.67282,4.411145483,61.86666667,10,do
176,13437.54155,21.08151904,76.08,20.9,do
177,14094.61917,19.10934033,90.98666667,17.46666667,wm
178,15720.16919,23.40405148,88.90666667,21.13333333,do
179,11112.47259,26.80391312,89.94666667,24.06666667,do
180,13826.03466,23.42940585,90.29333333,20.56666667,do
181,14837.47353,29.85488945,81.97333333,17.73333333,wm
182,17745.20405,10.0916869,57.70666667,13.6,do
183,13238.37746,27.5850432,74.69333333,17.46666667,dm
184,10748.01371,23.85267053,86.13333333,27.16666667,wm
185,26095.15199,9.328745399,63.25333333,8.4,do
186,18309.98369,6.276581304,95.84,9.8,dm
187,10487.36971,20.32028089,86.13333333,15.26666667,do
188,12817.80324,18.31402224,84.74666667,17.79,dm
189,29962.9391,20.85117603,80.58666667,21,do
190,22338.06995,5.870010703,34.13333333,18.4,do
191,12999.45434,16.98358002,77.46666667,11.13333333,do
192,10126.48721,12.63541259,57.01333333,8.966666667,do
193,4120.015307,33.50545592,90.29333333,23.53333333,do
194,23438.86193,3.375055473,42.10666667,7.4,do
195,7526.312493,45.16703866,88.21333333,25.13333333,do
196,25378.38264,12.67460908,80.58666667,18.84333333,dm
197,12485.42547,40.60526144,82.32,23.15666667,dm
198,11716.11716,29.02113191,92.72,21.16666667,wm
199,18906.21291,23.60087582,74.34666667,19.81666667,dm
200,12960.58941,25.53351215,90.64,21.41,do
201,2509.927505,24.63601953,80.93333333,22.06666667,dm
202,14193.17583,26.84301825,86.48,20.46666667,dm
203,12231.67165,29.58741875,94.8,27.06666667,wm
204,6738.334529,40.58033127,87.86666667,24.46666667,do
205,9116.20502,17.10575091,83.36,11.5,do
206,7415.607427,25.66748897,96.18666667,17.43333333,do
207,16024.98952,19.69187094,95.84,24,do
208,19835.82037,7.986255776,70.53333333,16.2,do
209,16300.41104,8.486471141,51.81333333,13.53333333,wm
210,28912.00378,22.97696244,36.56,20.86666667,wm